BluetoothTracker-0 is close to door 2 at location 53.3762186822289, -6.52740644601692 -- 53.376277685, -6.527380943 dat 2025-02-14 09:35:55.893182
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:30:17.414914'}
BluetoothTracker-0 is close to door 3 at location 53.3773144458609, -6.526730400983277 -- 53.377347103, -6.526683569 dat 2025-02-14 10:30:50.867511
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:30:50.867511'}
BluetoothTracker-0 is close to door 2 at location 53.376280727719184, -6.527431084829703 -- 53.376277685, -6.527380943 dat 2025-02-14 10:31:44.459189
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:31:44.459660'}
BluetoothTracker-0 is close to door 2 at location 53.37622001361625, -6.527406974722608 -- 53.376277685, -6.527380943 dat 2025-02-14 10:32:04.665093
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:32:04.665093'}
BluetoothTracker-0 is close to door 3 at location 53.37731738773112, -6.526667509083053 -- 53.377347103, -6.526683569 dat 2025-02-14 10:32:58.299131
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:32:58.299131'}
BluetoothTracker-0 is close to door 3 at location 53.37731441348283, -6.526731093168197 -- 53.377347103, -6.526683569 dat 2025-02-14 10:33:31.748323
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:33:31.748323'}
BluetoothTracker-0 is close to door 2 at location 53.37628177193485, -6.527431499496977 -- 53.376277685, -6.527380943 dat 2025-02-14 10:34:25.335027
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:34:25.335027'}
BluetoothTracker-0 is close to door 2 at location 53.37622086793645, -6.527407313980715 -- 53.376277685, -6.527380943 dat 2025-02-14 10:34:45.561185
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:34:45.561185'}
BluetoothTracker-0 is close to door 3 at location 53.37731736174981, -6.5266680645166835 -- 53.377347103, -6.526683569 dat 2025-02-14 10:35:39.189354
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:35:39.189354'}
BluetoothTracker-0 is close to door 3 at location 53.37731430285271, -6.526733458241308 -- 53.377347103, -6.526683569 dat 2025-02-14 10:36:12.589016
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:36:12.589016'}
BluetoothTracker-0 is close to door 2 at location 53.376285993311605, -6.527433175843011 -- 53.376277685, -6.527380943 dat 2025-02-14 10:37:06.135206
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:37:06.135206'}
BluetoothTracker-0 is close to door 2 at location 53.376218894977804, -6.52740653050139 -- 53.376277685, -6.527380943 dat 2025-02-14 10:37:26.305163
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:37:26.305163'}
BluetoothTracker-0 is close to door 3 at location 53.377317532866236, -6.526664406354913 -- 53.377347103, -6.526683569 dat 2025-02-14 10:38:19.905157
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:38:19.905157'}
BluetoothTracker-0 is close to door 3 at location 53.377314093013126, -6.526737944234585 -- 53.377347103, -6.526683569 dat 2025-02-14 10:38:53.288864
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:38:53.288864'}
BluetoothTracker-0 is close to door 2 at location 53.3762872641329, -6.527433680497381 -- 53.376277685, -6.527380943 dat 2025-02-14 10:39:46.889417
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:39:46.889417'}
BluetoothTracker-0 is close to door 2 at location 53.37621995315171, -6.527406950711604 -- 53.376277685, -6.527380943 dat 2025-02-14 10:40:07.105264
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:40:07.105264'}
BluetoothTracker-0 is close to door 3 at location 53.377317689620405, -6.526661055232313 -- 53.377347103, -6.526683569 dat 2025-02-14 10:41:00.627107
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:41:00.628132'}
BluetoothTracker-0 is close to door 3 at location 53.37731394352333, -6.5267411400577995 -- 53.377347103, -6.526683569 dat 2025-02-14 10:41:34.025987
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:41:34.027002'}
BluetoothTracker-0 is close to door 2 at location 53.3762824692249, -6.5274317763970195 -- 53.376277685, -6.527380943 dat 2025-02-14 10:42:27.761826
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:42:27.761826'}
BluetoothTracker-0 is close to door 2 at location 53.37622341700228, -6.527408326237293 -- 53.376277685, -6.527380943 dat 2025-02-14 10:42:48.090746
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:42:48.090746'}
BluetoothTracker-0 is close to door 3 at location 53.377317353918286, -6.526668231940522 -- 53.377347103, -6.526683569 dat 2025-02-14 10:43:41.672193
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:43:41.672193'}
BluetoothTracker-0 is close to door 3 at location 53.37731418134995, -6.52673605575206 -- 53.377347103, -6.526683569 dat 2025-02-14 10:44:15.024426
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:44:15.025440'}
BluetoothTracker-0 is close to door 2 at location 53.376287515279635, -6.527433780229973 -- 53.376277685, -6.527380943 dat 2025-02-14 10:45:08.585092
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:45:08.585092'}
BluetoothTracker-0 is close to door 2 at location 53.37622103336694, -6.527407379674622 -- 53.376277685, -6.527380943 dat 2025-02-14 10:45:28.847006
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:45:28.847006'}
BluetoothTracker-0 is close to door 3 at location 53.37731784612897, -6.526657709360461 -- 53.377347103, -6.526683569 dat 2025-02-14 10:46:22.288612
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:46:22.288612'}
BluetoothTracker-0 is close to door 3 at location 53.37731628319965, -6.5266911219815045 -- 53.377347103, -6.526683569 dat 2025-02-14 10:46:56.608289
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:46:56.608289'}
BluetoothTracker-0 is close to door 2 at location 53.37630554203744, -6.527440938814887 -- 53.376277685, -6.527380943 dat 2025-02-14 10:47:49.046852
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:47:49.046852'}
BluetoothTracker-0 is close to door 2 at location 53.37621837929711, -6.527406325720024 -- 53.376277685, -6.527380943 dat 2025-02-14 10:48:09.171745
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:48:09.171745'}
BluetoothTracker-0 is close to door 3 at location 53.37731784154463, -6.526657807365325 -- 53.377347103, -6.526683569 dat 2025-02-14 10:49:02.665910
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:49:02.665910'}
BluetoothTracker-0 is close to door 3 at location 53.37731589869279, -6.526699342047361 -- 53.377347103, -6.526683569 dat 2025-02-14 10:49:36.839762
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:49:36.839762'}
BluetoothTracker-0 is close to door 2 at location 53.376264554424836, -6.527424662271517 -- 53.376277685, -6.527380943 dat 2025-02-14 10:50:30.195430
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:50:30.195430'}
BluetoothTracker-0 is close to door 2 at location 53.376217617012436, -6.527406023010042 -- 53.376277685, -6.527380943 dat 2025-02-14 10:50:49.319910
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:50:49.319910'}
BluetoothTracker-0 is close to door 3 at location 53.377317931991165, -6.526655873780923 -- 53.377347103, -6.526683569 dat 2025-02-14 10:51:42.794058
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:51:42.794058'}
BluetoothTracker-0 is close to door 3 at location 53.37731624837758, -6.526691866414772 -- 53.377347103, -6.526683569 dat 2025-02-14 10:52:17.132397
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:52:17.135535'}
BluetoothTracker-0 is close to door 2 at location 53.37630493737933, -6.527440698699804 -- 53.376277685, -6.527380943 dat 2025-02-14 10:53:09.596611
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:53:09.598628'}
BluetoothTracker-0 is close to door 2 at location 53.376219153725444, -6.527406633252364 -- 53.376277685, -6.527380943 dat 2025-02-14 10:53:29.800699
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:53:29.800699'}
BluetoothTracker-0 is close to door 3 at location 53.37731797258225, -6.526655006016459 -- 53.377347103, -6.526683569 dat 2025-02-14 10:54:23.234335
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:54:23.234335'}
BluetoothTracker-0 is close to door 3 at location 53.37731605826097, -6.526695930766196 -- 53.377347103, -6.526683569 dat 2025-02-14 10:54:57.514778
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:54:57.514778'}
BluetoothTracker-0 is close to door 2 at location 53.37626179387904, -6.527423566034372 -- 53.376277685, -6.527380943 dat 2025-02-14 10:55:50.860663
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:55:50.860663'}
BluetoothTracker-0 is close to door 2 at location 53.376219433232784, -6.5274067442472 -- 53.376277685, -6.527380943 dat 2025-02-14 10:56:10.041932
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:56:10.041932'}
BluetoothTracker-0 is close to door 3 at location 53.37731743031453, -6.526666598726161 -- 53.377347103, -6.526683569 dat 2025-02-14 10:57:03.670960
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:57:03.670960'}
BluetoothTracker-0 is close to door 3 at location 53.37731405065428, -6.526738849790794 -- 53.377347103, -6.526683569 dat 2025-02-14 10:57:37.000469
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:57:37.000469'}
BluetoothTracker-0 is close to door 2 at location 53.376287875237175, -6.527433923172294 -- 53.376277685, -6.527380943 dat 2025-02-14 10:58:30.606604
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:58:30.606604'}
BluetoothTracker-0 is close to door 2 at location 53.37621955701696, -6.527406793402991 -- 53.376277685, -6.527380943 dat 2025-02-14 10:58:50.791540
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:58:50.791540'}
BluetoothTracker-0 is close to door 3 at location 53.377317631305054, -6.52666230190982 -- 53.377347103, -6.526683569 dat 2025-02-14 10:59:44.343127
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:59:44.343127'}
BluetoothTracker-0 is close to door 3 at location 53.37731385282864, -6.526743078947502 -- 53.377347103, -6.526683569 dat 2025-02-14 11:00:17.673819
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:00:17.673819'}
BluetoothTracker-0 is close to door 2 at location 53.3762966836711, -6.527437421079288 -- 53.376277685, -6.527380943 dat 2025-02-14 11:01:11.188385
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:01:11.188385'}
BluetoothTracker-0 is close to door 2 at location 53.376220886399395, -6.527407321312512 -- 53.376277685, -6.527380943 dat 2025-02-14 11:01:31.374570
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:01:31.374570'}
BluetoothTracker-0 is close to door 3 at location 53.37731761473739, -6.5266626560966134 -- 53.377347103, -6.526683569 dat 2025-02-14 11:02:24.906897
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:02:24.906897'}
BluetoothTracker-0 is close to door 3 at location 53.37731378741095, -6.526744477460263 -- 53.377347103, -6.526683569 dat 2025-02-14 11:02:58.207926
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:02:58.207926'}
BluetoothTracker-0 is close to door 2 at location 53.37629785810443, -6.527437887457145 -- 53.376277685, -6.527380943 dat 2025-02-14 11:03:51.726189
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:03:51.726695'}
BluetoothTracker-0 is close to door 2 at location 53.376222576767205, -6.527407992572515 -- 53.376277685, -6.527380943 dat 2025-02-14 11:04:11.990077
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:04:11.990077'}
BluetoothTracker-0 is close to door 3 at location 53.37731708345843, -6.5266740138865025 -- 53.377347103, -6.526683569 dat 2025-02-14 11:05:05.692070
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:05:05.692070'}
BluetoothTracker-0 is close to door 3 at location 53.37731463266843, -6.5267264073737445 -- 53.377347103, -6.526683569 dat 2025-02-14 11:05:39.109632
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:05:39.109632'}
BluetoothTracker-0 is close to door 2 at location 53.37627221907011, -6.527427705969924 -- 53.376277685, -6.527380943 dat 2025-02-14 11:06:32.793873
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:06:32.793873'}
BluetoothTracker-0 is close to door 2 at location 53.376221729464184, -6.527407656100994 -- 53.376277685, -6.527380943 dat 2025-02-14 11:06:52.058134
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:06:52.058873'}
BluetoothTracker-0 is close to door 3 at location 53.377317205794355, -6.526671398564124 -- 53.377347103, -6.526683569 dat 2025-02-14 11:07:45.726449
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:07:45.726449'}
BluetoothTracker-0 is close to door 3 at location 53.377314147402515, -6.526736781487211 -- 53.377347103, -6.526683569 dat 2025-02-14 11:08:19.009132
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:08:19.009132'}
BluetoothTracker-0 is close to door 2 at location 53.376286855194635, -6.527433518104383 -- 53.376277685, -6.527380943 dat 2025-02-14 11:09:12.596266
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:09:12.596266'}
BluetoothTracker-0 is close to door 2 at location 53.37621952741281, -6.5274067816469215 -- 53.376277685, -6.527380943 dat 2025-02-14 11:09:32.764260
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:09:32.764260'}
BluetoothTracker-0 is close to door 3 at location 53.37731769746596, -6.526660887508432 -- 53.377347103, -6.526683569 dat 2025-02-14 11:10:26.290846
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:10:26.290846'}
BluetoothTracker-0 is close to door 3 at location 53.37731644135285, -6.526687740950101 -- 53.377347103, -6.526683569 dat 2025-02-14 11:11:00.613657
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:11:00.613657'}
BluetoothTracker-0 is close to door 2 at location 53.37629724977911, -6.527437645885781 -- 53.376277685, -6.527380943 dat 2025-02-14 11:11:53.150962
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:11:53.150962'}
BluetoothTracker-0 is close to door 2 at location 53.37622232105232, -6.527407891025871 -- 53.376277685, -6.527380943 dat 2025-02-14 11:12:13.433665
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:12:13.435683'}
BluetoothTracker-0 is close to door 3 at location 53.37731758526839, -6.5266632860908596 -- 53.377347103, -6.526683569 dat 2025-02-14 11:13:06.950523
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:13:06.950523'}
BluetoothTracker-0 is close to door 3 at location 53.377316360996836, -6.526689458817424 -- 53.377347103, -6.526683569 dat 2025-02-14 11:13:41.202276
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:13:41.202276'}
BluetoothTracker-0 is close to door 2 at location 53.37630749139399, -6.527441712921606 -- 53.376277685, -6.527380943 dat 2025-02-14 11:14:33.575511
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:14:33.575511'}
BluetoothTracker-0 is close to door 2 at location 53.37622000642141, -6.527406971865474 -- 53.376277685, -6.527380943 dat 2025-02-14 11:14:53.752998
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:14:53.752998'}
BluetoothTracker-0 is close to door 3 at location 53.377317682051086, -6.526661217050808 -- 53.377347103, -6.526683569 dat 2025-02-14 11:15:47.278002
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:15:47.278002'}
BluetoothTracker-0 is close to door 3 at location 53.37731385144747, -6.526743108474434 -- 53.377347103, -6.526683569 dat 2025-02-14 11:16:20.626316
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:16:20.626316'}
BluetoothTracker-0 is close to door 2 at location 53.376297166017, -6.527437612623108 -- 53.376277685, -6.527380943 dat 2025-02-14 11:17:14.132336
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:17:14.132336'}
BluetoothTracker-0 is close to door 2 at location 53.37621875321288, -6.527406474205285 -- 53.376277685, -6.527380943 dat 2025-02-14 11:17:34.249754
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:17:34.249754'}
BluetoothTracker-0 is close to door 3 at location 53.37731804415939, -6.526653475825857 -- 53.377347103, -6.526683569 dat 2025-02-14 11:18:27.662151
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:18:27.662151'}
BluetoothTracker-0 is close to door 3 at location 53.37731586722891, -6.526700014688588 -- 53.377347103, -6.526683569 dat 2025-02-14 11:19:01.899966
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:19:01.899966'}
BluetoothTracker-0 is close to door 2 at location 53.37626349815433, -6.527424242817158 -- 53.376277685, -6.527380943 dat 2025-02-14 11:19:55.285223
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:19:55.285223'}
BluetoothTracker-0 is close to door 2 at location 53.37621830030618, -6.527406294352028 -- 53.376277685, -6.527380943 dat 2025-02-14 11:20:14.392143
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:20:14.392143'}
BluetoothTracker-0 is close to door 3 at location 53.37731833216808, -6.526647318717369 -- 53.377347103, -6.526683569 dat 2025-02-14 11:21:07.704277
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:21:07.704277'}
BluetoothTracker-0 is close to door 3 at location 53.37731544086974, -6.526709129481839 -- 53.377347103, -6.526683569 dat 2025-02-14 11:21:41.891094
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:21:41.891094'}
BluetoothTracker-0 is close to door 2 at location 53.37627310303253, -6.527428056999218 -- 53.376277685, -6.527380943 dat 2025-02-14 11:22:35.255221
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:22:35.255221'}
BluetoothTracker-0 is close to door 2 at location 53.37621824396566, -6.527406271978711 -- 53.376277685, -6.527380943 dat 2025-02-14 11:22:55.389160
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:22:55.390535'}
BluetoothTracker-0 is close to door 3 at location 53.37731788458929, -6.526656887147937 -- 53.377347103, -6.526683569 dat 2025-02-14 11:23:48.871788
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:23:48.871788'}
BluetoothTracker-0 is close to door 3 at location 53.377316125807525, -6.526694486742409 -- 53.377347103, -6.526683569 dat 2025-02-14 11:24:23.145576
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T11:24:23.145576'}
